,Method,Percent Edge Cutoff,MaxRes,Presistent threshold,Number of Nodes,Number of Edges,MedianDepth,MaxBreadth,Avg Leaf size,Number of genes below level one of the hierarchy,Avg number of child per level one node,"Number of Significant Systems (CC) with FDR <= 0.01, JI >= 0.2",Frac of Significant Systems (CC),"Number of Significant small Systems (CC) with FDR <= 0.01, JI >= 0.2","Number of Significant large Systems (CC) with FDR <= 0.01, JI >= 0.2",Number of components enriched in CORUM,Ratio of Enriched Systems (CORUM),"Number of Significant Systems (CORUM) with FDR <= 0.01, JI >= 0.2",Ratio of Significant Systems (CORUM),Number of Significant Systems (HCM) with FDR <= 0.01,Frac of Significant Systems (HCM),Number of unique edges in HCM enriched systems (size < 80),"Number of Significant Systems (DepMap) with FDR <= 0.01, size < 80",Frac of Significant Systems (DepMap),Number of unique edges in DepMap enriched systems (size < 80),Number of Significant Systems (BIOPLEX) with FDR <= 0.01,Frac of Significant Systems (BIOPLEX),Number of unique edges in BIOPLEX enriched systems (size < 80),Number of Significant Systems (PCNET) with FDR <= 0.01,Frac of Significant Systems (PCNET),Number of unique edges in PCNET enriched systems (size < 80),Number of Significant Systems (OPENCELL) with FDR <= 0.01,Frac of Significant Systems (OPENCELL),Number of unique edges in OPENCELL enriched systems (size < 80)
53,U2OS_5183_MUSE_256_MUSE_batch_all,2,20,5,153,167,5.0,36,42.91954022988506,5172,2.25,22,0.1437908496732026,11,11,56,0.3660130718954248,4,0.026143790849673203,14,0.0915032679738562,230,16,0.10457516339869281,3331,33,0.21568627450980393,1293,34,0.2222222222222222,5949,15,0.09803921568627451,352
24,U2OS_5183_MUSE_256_MUSE_batch_all,2,40,10,147,149,4.0,38,36.734042553191486,5171,2.1666666666666665,22,0.14965986394557823,10,12,55,0.3741496598639456,5,0.034013605442176874,13,0.08843537414965986,185,13,0.08843537414965986,2882,40,0.272108843537415,1171,42,0.2857142857142857,5152,18,0.12244897959183673,250
65,U2OS_5183_MUSE_256_MUSE_batch_all,2,40,15,88,89,3.0,42,50.903225806451616,5151,4.666666666666667,16,0.18181818181818182,9,7,37,0.42045454545454547,4,0.045454545454545456,10,0.11363636363636363,135,11,0.125,2760,29,0.32954545454545453,1217,28,0.3181818181818182,4964,12,0.13636363636363635,216
17,U2OS_5183_MUSE_256_MUSE_batch_all,2,40,5,245,268,5.0,66,26.54014598540146,5174,4.5,26,0.10612244897959183,14,12,71,0.2897959183673469,6,0.024489795918367346,19,0.07755102040816327,223,19,0.07755102040816327,3079,53,0.2163265306122449,1488,61,0.24897959183673468,6433,21,0.08571428571428572,289
18,U2OS_5183_MUSE_256_MUSE_batch_all,5,20,10,47,46,2.5,17,124.82352941176471,3402,2.25,12,0.2553191489361702,6,6,31,0.6595744680851063,3,0.06382978723404255,1,0.02127659574468085,8,3,0.06382978723404255,418,6,0.1276595744680851,390,7,0.14893617021276595,1231,5,0.10638297872340426,124
14,U2OS_5183_MUSE_256_MUSE_batch_all,5,20,15,38,37,3.0,13,176.74074074074073,3624,1.2,13,0.34210526315789475,6,7,30,0.7894736842105263,3,0.07894736842105263,1,0.02631578947368421,8,2,0.05263157894736842,396,4,0.10526315789473684,361,4,0.10526315789473684,1087,4,0.10526315789473684,115
57,U2OS_5183_MUSE_256_MUSE_batch_all,5,20,5,85,94,3.0,30,61.31372549019608,3643,3.1,17,0.2,9,8,42,0.49411764705882355,4,0.047058823529411764,2,0.023529411764705882,10,6,0.07058823529411765,671,12,0.1411764705882353,541,14,0.16470588235294117,1755,5,0.058823529411764705,126
10,U2OS_5183_MUSE_256_MUSE_batch_all,5,40,10,60,61,3.0,19,82.26829268292683,3683,2.25,16,0.26666666666666666,9,7,30,0.5,4,0.06666666666666667,3,0.05,21,3,0.05,624,8,0.13333333333333333,486,8,0.13333333333333333,1617,5,0.08333333333333333,117
28,U2OS_5183_MUSE_256_MUSE_batch_all,5,40,15,40,40,3.0,14,161.07142857142858,3613,1.4,16,0.4,9,7,31,0.775,4,0.1,2,0.05,10,3,0.075,626,6,0.15,478,6,0.15,1557,4,0.1,113
20,U2OS_5183_MUSE_256_MUSE_batch_all,5,40,5,136,147,3.0,47,31.530864197530864,3727,4.8,16,0.11764705882352941,9,7,41,0.3014705882352941,5,0.03676470588235294,4,0.029411764705882353,44,5,0.03676470588235294,650,19,0.13970588235294118,596,19,0.13970588235294118,2051,5,0.03676470588235294,117
3,U2OS_5183_MUSE_256_MUSE_batch_hard,0.2,20,10,198,219,3.0,64,32.90833333333333,4520,2.25,37,0.18686868686868688,31,6,78,0.3939393939393939,19,0.09595959595959595,29,0.14646464646464646,393,43,0.21717171717171718,5181,106,0.5353535353535354,2718,89,0.4494949494949495,12542,49,0.2474747474747475,1644
55,U2OS_5183_MUSE_256_MUSE_batch_hard,0.2,20,15,136,144,3.0,49,38.875,4132,2.0952380952380953,33,0.2426470588235294,26,7,60,0.4411764705882353,17,0.125,20,0.14705882352941177,316,33,0.2426470588235294,4533,72,0.5294117647058824,2153,65,0.47794117647058826,10313,38,0.27941176470588236,1396
50,U2OS_5183_MUSE_256_MUSE_batch_hard,0.2,20,5,279,336,4.0,62,27.645569620253166,4659,1.8518518518518519,48,0.17204301075268819,38,10,97,0.34767025089605735,23,0.08243727598566308,30,0.10752688172043011,410,41,0.14695340501792115,5258,145,0.5197132616487455,3018,120,0.43010752688172044,13984,67,0.24014336917562723,1777
21,U2OS_5183_MUSE_256_MUSE_batch_hard,0.2,40,10,285,314,4.0,82,20.76271186440678,4595,1.935483870967742,55,0.19298245614035087,48,7,89,0.312280701754386,28,0.09824561403508772,29,0.10175438596491228,361,40,0.14035087719298245,4346,147,0.5157894736842106,2589,115,0.40350877192982454,10741,56,0.19649122807017544,1488
